,name0,average,usersrated,weight,minplayers,maxplayers,playingtime,yearpublished
84632,Star Wars: Assalto Imperiale â?? L'Azzardo di Bespin,8.309,632,3.4,2,5,120,2016
84631,Teotihuacan: L'Age Pr?©classique,8.308,620,3.95,1,4,120,2019
84630,Nations: Dynasties,8.308,837,3.783,1,5,200,2015
8,Gleichgewicht des Schreckens,8.304,38427,3.577,2,2,180,2005
84595,Nah und Fern: Die Bernsteinminen,8.301,584,2.333,2,4,120,2018
84554,Commands & Colors: Ancients Expansion Pack #2 â?? Rome vs the Barbarians,8.299,734,2.562,2,2,60,2007
84546,Felkel?? Nap: Uralkod?³h?¡zak,8.297,854,3.429,3,6,120,2018
84544,Concordia: Aegyptus / Creta,8.297,591,3,2,5,120,2017
1781,The U.S. Civil War,8.296,518,3.836,2,2,360,2015
84510,Suburbia: Collector's Edition,8.29,1360,2.818,1,5,90,2019
84509,Les Contr?©es de l'Horreur: L?©gendes Oubli?©es,8.29,5155,3.173,1,8,180,2014
84505,Legendary: A Marvel Deck Building Game â?? Dark City,8.289,4705,2.634,1,5,60,2013
9,Great Western,8.288,25748,3.705,2,4,150,2016
84500,Russian Railroads: German Railroads,8.287,1620,3.523,1,4,120,2015
84498,Sentinels of the Multiverse: Wrath of the Cosmos,8.286,908,2.546,2,5,60,2015
84450,Der Herr der Ringe: Das Kartenspiel â?? Die Schwarzen Reiter,8.28,557,2.962,1,2,60,2013
84449,Sid Meier's Civilization: Das Brettspiel â?? Weisheit und Kriegskunst,8.279,1361,4,2,4,180,2013
84447,Arkham Horror: Das Kartenspiel â?? Blut auf dem Altar: Mythos-Pack,8.279,946,3.571,1,4,120,2017
84445,Eclipse: Shadow of the Rift,8.278,761,3.875,2,6,120,2015
84444,Les Aventuriers du Rail: 10e anniversaire,8.278,4846,1.913,2,5,60,2014
305,Aeon's End: Legacy,8.277,2083,2.778,1,4,90,2019
21,The 7th Continent,8.277,14600,2.871,1,4,1000,2017
84423,Commands & Colors: Ancients Expansion Pack #3 â?? The Roman Civil Wars,8.275,552,2.597,2,2,60,2007
84421,Viticulture: Besuch aus dem Rheingau,8.274,813,2.923,1,6,90,2018
84398,Magia i Myszy: Opowie??ci z Mrocznej Kniei,8.269,680,2.812,1,4,90,2014
967,Mega Civilization,8.266,921,3.692,5,18,720,2015
2066,Tsukuyumi: Full Moon Down,8.265,530,3.605,3,5,150,2018
84370,Battlestar Galactica: Amanecer,8.263,1766,3.614,3,7,180,2013
84363,Legendary Encounters: An Alien Deck Building Game Expansion,8.262,772,2.625,1,5,45,2016
84361,Dominion: Bl?¼tezeit,8.262,12937,2.489,2,4,30,2010
692,Dawn of the Zeds (Third edition),8.262,1240,3.73,1,5,120,2016
84353,El Grande Big Box,8.26,2327,2.759,2,5,90,2015
84352,Commands & Colors: Ancients Expansion Pack #1 â?? Greece & Eastern Kingdoms,8.26,1133,2.506,2,2,60,2006
702,Marco Polo II: Agli Ordini del Khan,8.26,1153,3.429,2,4,120,2019
71,Marvel Champions: El Juego de Cartas,8.254,6079,2.757,1,4,90,2019
576,D-Day at Omaha Beach,8.253,1419,3.436,1,2,480,2009
10,S?§ythe,8.253,51438,3.395,1,5,115,2016
84074,Snowdonia: Deluxe Master Set,8.25,976,3.067,1,5,90,2019
1705,Canci?³n de hielo y fuego: El juego de miniaturas,8.249,649,2.917,2,2,60,2018
84066,Combat Commander: Battle Pack #1 ?¢â?¬â?? Paratroopers,8.245,603,2.955,2,2,120,2007
490,Dune,8.24,1861,3.893,2,6,120,2019
84042,Runewars: Banner des Krieges,8.239,1092,3.821,2,4,240,2011
84039,Felkel?? Nap: Sz?¶rnyek,8.239,1047,3.4,3,5,120,2018
84021,Dominion: Intrige! (Tweede Editie),8.236,833,2.136,2,4,30,2016
84011,Lorenzo der Pr?¤chtige: Familien der Renaissance,8.235,877,3.454,2,5,0,2017
83996,StarCraft: The Board Game â?? Brood War Expansion,8.233,1525,3.858,2,6,180,2008
83995,Star Wars: Assalto Imperiale â?? Ombre Gemelle,8.232,1241,3.333,2,5,120,2015
83992,Runebound (Tercera Edici?³n): V?­nculos Inquebrantables,8.232,693,3.2,1,4,180,2017
465,Dice Throne: Season Two â?? Battle Chest,8.23,1768,2.095,2,6,40,2018
83974,Memoir '44: Breakthrough,8.228,719,2.355,2,2,60,2010
83960,Le Case della Follia: Seconda Edizione â?? Incubi Ricorrenti: Raccolta di Miniature e Tessere,8.227,1147,2.75,1,5,180,2016
114,Vinhos Deluxe Edition,8.227,3643,4.054,1,4,135,2016
83959,SCYTHE: carte promo Rencontre 29-32,8.226,569,3,1,5,115,2016
83958,Arkham Horror: Das Kartenspiel â?? Karneval des Schreckens: Szenario-Pack,8.226,794,3.571,1,4,120,2016
83956,Android: Netrunner â?? Er?¶ffnung,8.225,526,3.417,2,2,45,2013
83949,Legendary: A Marvel Deck Building Game â?? Civil War,8.225,1053,2.5,1,5,60,2016
83947,SCYTHE cartes promo Usine 13 - 18,8.224,574,3,1,5,115,2016
83943,Naje?ºd?ºcy z P?³??nocy: Hala bohater?³w,8.224,1823,2.706,2,5,80,2018
1572,Gaslands: Post-Apocalyptic Vehicular Combat,8.224,615,2.6,2,8,90,2017
83915,Lords of Waterdeep: Scoundrels of Skullport,8.221,10847,2.654,2,6,60,2013
83847,Dungeon Lords: Happy Anniversary,8.214,889,3.917,2,4,120,2014
83838,Android Netrunner: Tworzy?? i Kontrolowa??,8.211,987,3.229,2,2,45,2013
83834,Memoir '44: Campaign Book Volume 1,8.21,835,2.407,2,8,40,2009
83833,Cosmic Encounter: Cosmic Incursion,8.21,3146,2.674,3,6,60,2010
83829,Les Contr?©es de l'Horreur: Les Montagnes Hallucin?©es,8.209,2858,3.268,1,8,180,2014
83821,Robinson Crusoe: Adventure on the Cursed Island â?? Wyprawa H.M.S. Beagle,8.208,1587,3.742,1,4,120,2013
83798,Le Case della Follia: Il Richiamo della Foresta,8.201,1060,3.432,2,5,180,2013
960,Claustrophobia 1643,8.198,996,2.629,2,2,90,2019
83680,Galaxy Trucker: Anniversary Edition,8.198,2698,2.806,2,5,120,2012
83673,Concordia: Gallia / Corsica,8.197,670,2.833,2,5,0,2016
83670,Yanks: ASL Module 3,8.196,645,4.446,2,2,120,1987
83657,Dominion: Abenteuer,8.193,2414,2.735,2,4,30,2015
83654,Terra Mystica: Bonus 2015,8.192,631,3.833,2,5,150,2015
83641,Android: Netrunner â?? A Prova di Futuro,8.19,675,3.379,2,2,45,2013
18,Arkham Horror: Das Kartenspiel,8.19,24393,3.392,1,2,120,2016
83639,SCYTHE carte promo Rencontre 33 - 36,8.19,604,3,1,5,180,2016
472,Triumph & Tragedy: European Balance of Power 1936-1945,8.188,1707,3.315,2,3,360,2015
83621,Le Case della Follia: Seconda Edizione â?? Visioni dall'Oblio: Raccolta di Miniature e Tessere,8.187,1158,2.571,1,5,180,2016
83619,Chronicles of Crime: Noir,8.187,647,2.091,1,4,90,2018
83607,Firefly: The Game â?? Kalidasa,8.184,867,2.958,1,4,120,2015
83605,Blood Rage: Kickstarter Exclusives,8.184,576,2.4,2,4,90,2015
22,?? la gloire d'Odin,8.183,15081,3.835,1,4,120,2016
83593,Carcassonne big box,8.182,1464,1.9,2,6,35,2017
32,Pandemic Legacy: 2. ??vad,8.182,10309,3.271,2,4,60,2017
1035,Black Rose Wars,8.181,1167,3.426,1,4,90,2019
83589,SCYTHE 4 cartes promo objectif 24 -27,8.181,536,3,1,5,115,2016
62,Lisboa,8.18,5798,4.561,1,4,120,2017
83585,Sentinels of the Multiverse: Shattered Timelines,8.179,1862,2.431,2,5,60,2013
83557,Mage Wars Arena: Forcemaster vs Warlord Expansion Set,8.173,956,3.641,2,2,90,2013
1588,Frostgrave,8.173,671,2.727,2,8,120,2015
83550,Android: Netrunner â?? C?­ber ?©xodo,8.172,834,3.306,2,2,45,2013
83537,Gloomhaven: Forgotten Circles,8.168,777,4,1,4,120,2019
353,Cthulhu: Death May Die,8.166,2431,2.362,1,5,120,2019
83438,A Mars Terraform?¡l?¡sa: T?¡voli gyarmatok,8.164,3350,3.151,1,5,120,2018
27,Food Chain Magnate,8.162,12488,4.193,2,5,240,2015
83422,Descent: Die Reise ins Dunkel (Zweite Edition) â?? Labyrinth des Verderbens,8.16,1397,3.239,2,5,90,2013
14,Terra Mystica,8.16,36877,3.957,2,5,150,2012
17,Brass,8.158,17828,3.862,2,4,120,2007
239,Die Insel der Katzen,8.158,2943,2.324,1,4,90,2019
83398,Trickerion: Dahlgaard's Gifts,8.156,801,3.964,2,4,120,2015
83373,Star Wars X-Wing: El juego de miniaturas â?? Halc?³n Milenario â?? Pack de Expansi?³n,8.153,2019,2.385,2,2,0,2013
83363,Star Wars: Assalto Imperiale â?? Pack di espansione â?? Boba Fett  Famigerato Cacciatore di Taglie,8.151,602,2.875,2,5,120,2015
541,Summoner Wars: Alliances Master Set,8.15,1552,2.704,2,4,45,2014
1233,Hellboy: El Juego de Tablero,8.148,991,2.763,1,4,90,2019
83339,Android: Netrunner â?? Cie?? Ludzko??ci,8.146,687,3.258,2,2,45,2013
83334,Cosmic Encounter: Cosmic Conflict,8.145,1978,2.836,3,7,60,2011
83328,Arkham Horror: Das Kartenspiel â?? Wo das Verderben Wartet: Mythos-Pack,8.144,783,3.615,1,2,120,2017
83327,Memoir '44: Guerra de Invierno,8.144,764,2.241,2,2,90,2010
83269,Les Charlatans de Belcastel: Les Sorci?¨res s'en m?ªlent,8.139,1519,2,2,5,45,2019
83267,Keyflower: Kupcy,8.138,816,3.167,2,6,90,2014
83254,Descent: Die Reise ins Dunkel (Zweite Edition) â?? Schloss Rabenfels,8.136,694,3.375,2,5,120,2014
83247,Roll for the Galaxy: Ambicja,8.134,2963,2.781,2,5,60,2015
83246,Legendary: A Marvel Deck Building Game â?? Secret Wars  Volume 1,8.134,1746,2.657,1,5,60,2015
83245,Russian Railroads: American Railroads,8.134,603,3.389,2,4,120,2016
13,Die Burgen von Burgund,8.131,42901,3,2,4,90,2011
83220,Brzd??k! Ekspedycje po Z??oto i Paj??czyny,8.129,821,2,2,4,60,2018
83219,Tzolk'in: Calendarul Maia?? â?? Triburi ??i Profe??ii,8.129,3035,3.571,2,5,90,2013
83216,Scythe: Begegnungen,8.129,1167,3,1,7,115,2018
83206,Android: Netrunner â?? Blick nach vorne,8.128,1028,3.4,2,2,45,2012
83205,Flamme Rouge: Peloton,8.127,1563,1.897,1,12,60,2017
763,Empire of the Sun,8.127,1298,4.264,1,2,360,2005
83199,Istanbul: Big Box,8.127,884,2.36,2,5,90,2018
83198,Android: Netrunner â?? Cantidad residual,8.127,872,3.28,2,2,45,2013
83128,Arkham Horror: Das Kartenspiel â?? Das Miskatonic-Museum: Mythos-Pack,8.123,1189,3.5,1,4,120,2017
19,Feszt?¡v,8.119,30812,2.383,1,5,70,2019
93,A Nyugati Kir?¡lys?¡g Lovagjai,8.119,5133,3.621,1,4,120,2019
97,A Gy?±r?±k Ura: Utaz?¡sok K?¶z?©pf?¶ld?©n,8.118,6223,2.521,1,5,120,2019
83101,Roll Player: Monsters & Minions,8.117,2249,2.697,1,5,120,2018
