,name0,average,usersrated,weight,minplayers,maxplayers,playingtime,yearpublished
2298,Bosk,7.147,720,2.167,2,4,40,2019
1862,Unlock!: Secret Adventures â?? A Noside Story,7.147,881,2.583,1,6,60,2018
1352,Steam Time,7.146,1419,2.98,2,4,90,2015
509,Cuba,7.145,7764,3.266,2,5,120,2007
1517,Yunnan,7.145,1228,3.238,2,5,90,2013
67521,Keltis: Neue Wege Neue Ziele,7.144,771,2.108,2,4,30,2009
67515,Jungle Speed Dodatek,7.144,983,1.183,2,15,15,2003
2256,Man O' War,7.144,728,2.661,2,4,180,1993
1193,Kashgar: H?¤ndler der Seidenstra??e,7.144,1664,2.258,2,4,45,2013
1381,Ubongo 3-D,7.144,1405,2.013,2,4,30,2009
1443,Sanssouci,7.144,1326,2.083,2,4,45,2013
367,Colt Express,7.143,22562,1.814,2,6,40,2014
1291,Asia Chess,7.143,1798,3.575,2,2,60,762
2808,Schwungfedern,7.143,562,3.042,2,4,90,2015
67453,Star Realms: Crisis â?? Ereignis,7.143,1849,1.917,2,6,20,2014
1591,Gl?¼x,7.143,1147,1.645,2,4,45,2016
1321,Qu?©bec,7.143,1460,2.984,2,5,75,2011
521,Medici,7.143,6941,2.26,2,6,60,1995
2236,Harvest,7.143,712,2.565,2,4,75,2017
585,Reef,7.142,5790,1.85,2,4,45,2018
446,Port Rojal,7.141,11695,1.618,2,5,50,2014
1999,Colonial: Europe's Empires Overseas,7.141,887,3.467,2,6,120,2011
3034,Firefly Adventures: Brigands and Browncoats,7.141,502,2.7,1,5,120,2018
1378,The King Is Dead,7.141,1406,2.608,2,4,50,2015
477,Jenseits von Theben,7.141,8974,2.159,2,4,60,2007
912,Libert?©,7.141,2570,3.308,3,6,90,1998
67436,Alhambra Bramy miasta,7.14,1013,2.214,2,6,60,2004
2595,Nine Tiles Panic,7.14,542,1.2,2,5,20,2019
625,Reef Encounter,7.14,4905,3.678,2,4,120,2004
2542,Rockwell,7.139,563,3.204,2,4,90,2013
1961,Battlestations,7.139,919,3.408,2,8,240,2004
1295,Transatlantic,7.138,1521,3.136,2,4,120,2017
2166,Space Explorers,7.137,821,2.286,2,4,40,2017
1543,Wings of War: Burning Drachens,7.137,1302,1.96,1,2,20,2005
519,The Downfall of Pompeii,7.136,7126,1.846,2,4,45,2004
505,Torres,7.136,8438,2.872,2,4,60,1999
67387,Catan: Cities & Knights â?? 5-6 Player Extension,7.136,3528,2.749,5,6,120,2000
2323,Crystal Clans,7.136,705,2.562,2,2,60,2018
512,Dracula,7.134,8863,2.951,2,5,180,2005
1289,New Bedford,7.133,1600,2.364,1,4,60,2016
2646,Jenseits von Theben,7.133,536,2.431,2,4,75,2004
474,Carcassonne ?? la Pr?©histoire,7.133,10643,1.919,2,5,35,2002
67359,Blue Moon: Die Terrah,7.133,731,2.162,2,2,30,2004
649,Maharadja: Paleizenbouw in India,7.133,4805,3.174,2,5,90,2004
1445,Carcassonne: Amazonas,7.132,1340,1.933,2,5,35,2016
2616,Spy Club,7.131,559,2.133,2,4,45,2018
2407,Qwixx Deluxe,7.131,627,1.182,2,8,20,2016
2291,Sanctum,7.13,729,2.45,2,4,90,2019
878,Peloponnes,7.129,2685,2.384,1,5,45,2009
569,HeroQuest,7.129,10482,2.159,2,5,90,1989
408,Einfach Genial,7.129,15187,1.919,1,4,45,2004
1332,Warhammer: Diskwars,7.128,1793,2.766,2,4,90,2013
2726,Battle for Germany,7.128,524,2.113,2,4,180,1975
1597,Ultimate Werewolf: Deluxe Edition,7.127,1468,1.452,5,75,30,2014
2649,Pot??ga s??owa,7.126,551,2,2,4,45,2017
776,Meeple Circus,7.126,3701,1.433,2,5,45,2017
596,Karciane Podziemia,7.126,6945,2.03,1,2,45,2016
1754,Last Train to Wensleydale,7.126,966,3.26,3,4,120,2009
2391,Medium,7.125,674,1.071,2,8,45,2019
2476,Storm Over Stalingrad,7.125,591,2.196,1,2,180,2006
2000,Now Boarding,7.124,818,2.235,2,5,60,2018
743,Empire,7.124,4304,2.777,3,6,270,1991
1877,Darkest Night,7.124,960,2.785,1,4,150,2012
1269,On Tour,7.124,1732,1.471,1,4,20,2019
67199,Alta Tensi?³n: Los Robots,7.124,1162,2.855,2,5,120,2011
2175,Les Ailes de la Gloire,7.124,782,2.263,2,6,60,1983
2174,Cahoots,7.123,732,1.1,1,4,20,2018
1297,Antike Duellum,7.123,1553,2.897,2,2,75,2012
2222,Machi Koro Legacy,7.123,701,2.2,2,4,45,2019
2625,Doctor Who: Time of the Daleks,7.123,642,2.333,2,4,120,2017
492,Las Vegas,7.122,8670,1.185,2,5,30,2012
1894,Gunslinger,7.122,977,3.289,2,7,90,1982
386,Les Chevaliers de la Table Ronde,7.122,24774,2.565,3,7,80,2005
67191,Dead of Winter: Col?´nias em Guerra,7.121,516,3.286,4,11,120,2017
67184,Agricola: A Trav?©s de las Estaciones,7.121,874,3.103,1,5,120,2008
67183,Carcassonne: 5. Erweiterung â?? Abtei und B?¼rgermeister,7.121,4414,2.008,2,6,30,2007
804,??lmodj Velem!,7.121,3522,1.115,4,10,40,2016
1804,Pixel Tactics 2,7.121,1022,2.6,2,2,45,2013
1993,Carro Combo,7.121,823,1.611,3,5,30,2018
653,Santiago,7.121,4745,2.493,3,5,75,2003
469,Tobago,7.12,10162,2.124,2,4,60,2009
555,Onirim (Second Edition),7.119,7226,1.576,1,2,15,2014
958,Merlin,7.119,2563,3.082,2,4,75,2017
67169,Der Herr der Ringe: Schlachtfelder,7.118,503,3.088,2,5,0,2007
67168,Cutthroat Caverns: Deeper & Darker,7.118,656,2.267,3,6,90,2007
1546,Cytosis: A Cell Biology Board Game,7.118,1394,2.5,2,5,90,2017
1307,Raumstation Theseus,7.117,1647,2.815,2,4,90,2013
1649,Campy Creatures,7.117,1240,1.444,2,5,30,2017
67151,Space Hulk: Genestealer Expansion,7.116,558,2.646,2,4,45,1990
1995,Enchanters,7.116,892,1.867,2,4,60,2016
1113,Baronia,7.116,2191,2.224,2,4,45,2015
543,Cacao,7.115,7508,1.82,2,4,45,2015
67147,Dominion: Black Market Promo Card,7.115,3453,2.317,2,4,30,2009
932,Herb?¡ceas,7.114,2885,1.194,1,4,20,2017
1887,Ascension: Apprentice Edition,7.113,971,1.956,2,2,30,2013
1790,Silverton,7.111,1008,3.25,1,6,180,1991
1622,CuBirds,7.111,1230,1.316,2,5,20,2018
2443,The Great Dinosaur Rush,7.111,624,2.167,2,5,60,2016
67071,7 Wonders: Catan,7.11,1818,1.933,2,7,30,2011
894,Escape Room: Das Spiel,7.11,2859,2.167,3,5,60,2016
1363,Der Hobbit: Kampf um den Arkenstein,7.11,1575,1.255,2,4,30,2015
2704,Strife,7.11,511,1.5,3,6,45,2015
606,Kanagawa,7.11,6364,2.037,2,4,45,2016
1300,Edo,7.109,1554,2.954,2,4,60,2012
1397,Flip Ships,7.108,1417,1.409,1,4,45,2017
359,Hanabi,7.108,36347,1.695,2,5,25,2010
916,Carcassonne: D?©ltenger,7.108,2897,1.887,2,5,35,2013
1161,Masmorra: Dungeons of Arcadia,7.107,2226,2.222,1,5,90,2017
449,Ajax Chessmen,7.106,26745,3.71,2,2,60,1475
908,GIPF,7.106,2839,2.768,2,2,60,1996
2232,Gunkimono,7.106,703,1.929,2,5,60,2018
412,Cesarski Kurier,7.105,17431,2.262,2,4,60,2006
712,Discoveries: The Journals of Lewis and Clark,7.104,4223,2.362,2,4,60,2015
67017,Exploding Kittens: Imploding Kittens,7.104,2542,1.111,2,6,15,2016
678,Mal?¡ velk?¡ dobrodru?¾stv?­,7.104,5554,2.657,1,4,60,2017
67015,Catan Card Game: Expansion Set,7.104,2015,2.51,2,2,90,2002
751,Rex: Die letzten Tage eines Imperiums,7.103,4107,3.273,3,6,180,2012
1751,First Train to Nuremberg,7.103,1025,3.18,2,4,120,2010
1563,Amazonki,7.103,1267,1.138,3,10,15,2016
764,La Expedici?³n Perdida,7.102,4110,1.823,1,5,50,2017
568,Among the Stars,7.102,6511,2.236,2,4,30,2012
1942,Ksi???¼??,7.102,1004,3.219,4,8,480,1977
2708,The Game: Faccia a Faccia,7.102,518,1.444,2,2,20,2017
1475,Confusion,7.102,1307,2.411,2,2,45,1992
1414,Unlock!: Le Jeu d'Escape Room â?? Le Tr?©sor de Tonipal,7.101,1399,2.562,1,6,60,2017
1590,Citrus,7.101,1183,2.52,2,5,60,2013
1680,DungeonQuest Edici?³n revisada,7.1,1281,1.986,1,4,60,2014
880,Fortune and Glory: The Cliffhanger Game,7.1,3405,2.876,1,8,240,2011
1150,Einfach Genial: Reiseedition,7.1,1899,1.851,2,2,30,2006
986,Cat Lady,7.1,2643,1.468,2,4,30,2017
915,Catacombs,7.1,2844,1.946,2,5,60,2010
2874,Chakra,7.099,528,1.6,2,4,30,2019
710,5-Minute Dungeon,7.099,5682,1.107,2,5,30,2017
673,Adrenalin,7.099,5162,2.292,3,5,60,2016
2593,Dragoon,7.098,783,1.947,2,4,60,2016
1042,Nothing Personal,7.098,2198,2.771,3,5,120,2013
1891,Dokmus,7.097,937,2.111,2,4,40,2016
1151,Age of Renaissance,7.097,2102,3.859,3,6,300,1996
2638,Alesia,7.097,593,2.986,2,4,360,1976
1009,Valeria: Wioski,7.096,2574,2.357,1,5,60,2017
812,Contos e Jogos: A Lebre e a Tartaruga,7.096,3465,1.394,2,5,20,2011
769,Vinci,7.096,3888,2.781,3,6,90,1999
1286,Unlock!: Le Jeu d'Escape Room â?? La Maison sur la Colline,7.095,1620,1.867,1,6,60,2017
574,Carcassonne: De Burcht,7.095,7332,1.986,2,2,30,2003
981,Mal?© velk?© zombie,7.095,3115,2.414,1,5,45,2018
2760,India Rails,7.094,530,2.607,2,6,180,1998
628,Spyrium,7.093,5594,2.897,2,5,75,2013
1069,Qwinto,7.093,2171,1.367,2,6,15,2015
3101,Divine Right,7.092,544,3.183,2,6,360,1979
2766,Legendary: Big Trouble in Little China,7.091,557,1.8,2,5,60,2016
2043,Assault on Doomrock,7.091,840,3.127,1,4,150,2014
66866,I Coloni di Catan: Il Gioco di Carte â?? Scienza & Progresso,7.09,581,2.5,2,2,90,1999
720,Antike,7.09,4537,2.992,2,6,120,2005
467,Hrdibov?© bez z?¡ruky,7.09,13902,1.726,1,8,15,2017
1550,The Dresden Files Cooperative Card Game,7.09,1419,2.103,1,5,30,2017
548,Yspahan,7.09,7626,2.364,2,4,60,2006
2785,The Siege of Jerusalem (Third Edition),7.09,537,3.866,1,2,300,1989
659,Disney Villainous,7.088,7224,2.418,2,6,50,2018
389,Citadel??,7.088,46656,2.053,2,8,60,2000
1342,Eurorails,7.087,1727,2.74,2,6,240,1990
1934,Ragusa,7.087,930,2.737,1,5,80,2019
420,Robo Rally,7.086,22018,2.43,2,8,120,1994
66834,Survive: Escape from Atlantis! The Giant Squid Mini Expansion,7.086,1461,1.475,2,4,60,2010
2970,Trogdor!! The Board Game,7.086,509,1.714,1,6,60,2019
798,Via Nebula,7.085,3592,2.207,2,4,60,2016
1034,Insider,7.084,2315,1.057,4,8,15,2016
953,Paper Tales,7.084,2749,2.111,2,5,30,2017
1245,Robo Rally,7.083,1986,2.25,2,6,120,2016
645,Genoa,7.082,5841,3.086,2,5,120,2001
66771,Machi Koro Haven,7.082,5373,1.659,2,5,30,2012
1585,New Amsterdam,7.081,1231,3.235,2,5,90,2012
540,K2,7.08,8602,2.266,1,5,60,2010
66755,Schikane,7.08,716,1.645,2,6,30,2007
66752,Tiny Epic Galaxies: Satellites & Super Weapons Mini Expansion,7.08,505,1.933,2,5,30,2015
1067,Kruki,7.079,2356,1.226,2,2,30,2016
2142,Cabo,7.079,789,1.312,2,5,30,2010
992,Ulm,7.078,2528,2.697,2,4,75,2016
2409,Noctiluca,7.078,652,1.435,1,4,30,2019
1573,City of Spies: Estoril 1942,7.078,1280,2.562,2,4,60,2015
1228,A House Divided: The American Civil War 1861-1865,7.077,1874,2.642,2,2,240,1981
66722,Alhambra: Calif's Treasure Chamber,7.077,621,2.281,2,6,60,2006
2099,Invasion from Outer Space: The Martian Game,7.076,841,2.783,2,6,120,2010
2271,Field Commander: Alexander,7.076,734,2.321,1,1,90,2009
1038,Unlock!: Escape Adventures â?? Die Formel,7.075,2312,2.393,1,6,75,2017
608,Farm?¡??i,7.074,6616,2.08,2,4,45,2009
66703,Machi Koro: Deluxe Edition,7.074,2136,1.754,2,5,30,2015
665,Louis XIV,7.073,5285,3.006,2,4,100,2005
846,Risiko Star Wars,7.072,3453,1.843,2,4,45,2015
2212,Anomia: Party Edition,7.072,844,1.04,3,6,30,2013
2954,Bad Bones,7.072,518,2.105,1,6,45,2019
758,Wiz-War,7.072,4517,2.319,2,4,60,2012
1198,The Ancient World,7.071,1895,2.718,2,4,90,2014
762,Tal der K?¶nige,7.071,3992,2.189,2,4,45,2014
2558,Hotshots,7.069,656,2.133,1,4,60,2017
750,Mint Works,7.069,4480,1.673,1,4,20,2017
1309,Capital Lux,7.069,1669,1.978,2,4,30,2016
1203,Hab & Gut,7.069,1836,2.188,3,5,45,2008
895,Keythedral,7.068,2942,2.853,2,5,90,2002
1539,Cuvinte Capcana,7.068,1332,1.407,4,8,45,2018
2030,Podaj Dalej! Bez cenzury,7.068,959,1,4,8,30,2015
525,Eminent Domain,7.068,9168,2.503,2,4,45,2011
630,FUSE,7.067,6461,1.667,1,5,10,2015
503,Betrayal at House on the Hill,7.066,34684,2.383,3,6,60,2004
483,A trav?©s del desierto,7.066,12375,2.21,2,5,45,1998
1492,Quests of Valeria,7.066,1504,2.227,1,5,45,2017
1586,Startups,7.066,1272,1.769,3,7,20,2017
2349,Les Aventuriers du Rail: Mon Premier Voyage,7.065,744,1.643,2,4,30,2017
622,XCOM: Das Brettspiel,7.065,7527,2.908,1,4,120,2015
2080,Citadela,7.064,919,2.417,2,7,60,2012
1609,Timeline Challenge,7.064,1238,1.333,2,10,30,2015
2297,The World Cup Game,7.062,714,1.981,3,16,180,2006
1165,Dynasties,7.062,2033,2.094,2,2,30,2005
2263,Flames of War: The World War II Miniatures Game,7.062,825,3.287,2,2,120,2002
1356,Bargain Quest,7.062,1712,1.932,2,6,60,2017
2155,Ceylan,7.062,782,2.528,2,4,60,2018
1933,7 Ages,7.061,1008,3.938,2,7,480,2004
66568,Les Colons de Catane: P?ªcheurs,7.061,1057,2,3,4,60,2005
817,Yggdrasil,7.061,3664,2.594,1,6,90,2011
698,Dream Factory,7.06,4973,2.112,2,5,60,2000
1091,Coup: Guatemala 1954,7.059,2342,1.927,3,6,15,2014
726,Fabelfruit,7.059,4657,1.577,2,5,30,2016
1998,One Night Ultimate Alien,7.059,923,1.87,4,10,10,2017
66561,Blue Moon: Die Mimix,7.059,881,2.176,2,2,30,2004
2190,DC Comics Deck-Building Game: Rivals â?? Batman vs The Joker,7.059,823,1.81,2,2,30,2014
1298,Ground Floor,7.058,1626,3.723,2,6,150,2012
689,Die Burgen von Burgund: Das Kartenspiel,7.058,5340,2.546,1,4,60,2016
1953,Planetarium,7.058,974,2.054,1,4,45,2017
66542,7 Cud?³w ??wiata: Babel,7.057,3433,2.647,2,7,45,2014
1450,Star Trek Panic,7.057,1539,2.136,1,6,90,2016
478,Jamaica,7.057,15413,1.649,2,6,60,2007
1417,La Herej?­a de Horus,7.057,1593,3.747,2,2,135,2010
428,Sushi Go!,7.056,31587,1.162,2,5,15,2013
883,Civitas Hamburgum,7.056,3076,3.079,2,5,75,2007
66530,Dungeon Twister 3/4 Spieler Erweiterung,7.056,565,3.017,3,4,60,2005
437,Ei ait?¤h,7.056,19298,1.141,3,7,20,2004
1053,EXIT ë°© í??ì¶? ê²?ì??: ì??ì£¼ë°?ì?? ì?¬,7.056,2329,2.565,1,4,90,2017
2610,Wordsy,7.055,584,1.3,1,6,20,2017
2343,Asking for Trobils,7.054,734,2.079,2,7,90,2015
940,Medina,7.053,2865,2.796,3,4,60,2001
66492,R?ºnamester: Var?¡zst?¡rgyak ?©s fegyvert?¡rsak,7.053,513,2.447,2,6,120,2005
1281,Diamonds Club,7.053,1699,2.626,2,4,75,2008
2541,Beasty Bar: New Beasts in Town,7.052,594,1.812,2,4,20,2015
1160,Naissance et Apog?©e des Empires,7.052,2001,3.547,2,5,180,2009
1777,Key to the City: London,7.052,1069,2.688,2,6,120,2016
460,Camel Cup,7.051,21522,1.486,2,8,30,2014
584,1914: O Jogo da Diplomacia,7.051,11741,3.355,2,7,360,1959
66447,Star Realms: Crisis â?? Bohaterowie,7.05,1807,2,2,6,20,2014
2252,Kingdomino Duel,7.049,738,1.8,2,2,20,2019
1438,B-17: Queen of the Skies,7.049,1866,2.35,1,2,20,1981
66445,DC Comics Deck-Building Game: Crisis Expansion Pack 1,7.049,943,2.472,1,5,120,2014
715,La Citt??,7.048,5005,3.278,2,5,120,2000
877,Coco King,7.048,3488,1.043,2,4,20,2013
1179,Agent Undercover 2,7.048,2026,1.296,3,12,15,2017
785,Fog of Love,7.048,4472,2.274,2,2,120,2017
2171,Rivet Wars,7.048,895,2.442,2,2,30,2013
845,Les aventuriers du rail: New York,7.047,3659,1.259,2,4,15,2018
1479,Rise to Nobility,7.047,1551,3.312,1,6,150,2018
613,29 Cribbage Board,7.046,7784,1.905,2,4,30,1630
2725,Ohanami,7.046,554,1.133,2,4,20,2019
2813,Survive: Space Attack!,7.046,515,2.154,2,4,60,2015
66416,Tokyo Highway (four-player edition),7.045,893,1.429,2,4,50,2018
66415,Bohnanza Erweiterungs-Set,7.045,809,1.63,3,7,45,1997
2340,Cross Talk,7.045,706,1.231,4,8,30,2017
973,Battledroids,7.044,3312,3.41,2,20,90,1985
735,Het Koopmanshuis,7.044,4643,2.269,2,5,45,2010
1016,Merkator,7.044,2474,2.961,1,4,90,2010
756,DC Comics Deck-Building Game,7.044,5950,2,2,5,45,2012
2515,Axis & Allies Naval Miniatures: War at Sea,7.044,722,2.077,2,2,60,2007
1835,Peque?±os grandes Mechs,7.044,1214,2.375,1,4,60,2019
1111,Viral,7.043,2280,2.523,2,5,90,2017
876,Mottainai,7.043,3307,3.063,2,5,30,2015
1466,Inca Empire,7.042,1401,3.136,3,4,120,2010
1316,Wooden Ships & Iron Men,7.041,1903,3.122,2,2,60,1974
2873,Down In Flames Series: Volume 1 â?? The Rise of the Luftwaffe,7.041,509,2.127,2,8,20,1993
1052,L???¶wenherz,7.041,2379,2.929,2,4,90,1997
66373,I Coloni di Catan: Il Gioco di Carte â?? Commercio & Sviluppo,7.04,643,2.606,2,2,90,1999
1634,Cinque Terre,7.04,1255,2.361,2,5,60,2013
66372,Blue Moon: Die Flit,7.04,876,2.247,2,2,30,2004
2538,Chimera,7.04,613,2.167,3,3,45,2014
1974,Legacy: Gears of Time,7.039,921,2.845,2,4,60,2012
2186,Geschichten aus 1001 Nacht,7.039,792,2.443,1,6,120,1985
612,Blue Moon City,7.038,7489,2.297,2,4,50,2006
816,Fauna,7.038,3869,1.482,2,6,60,2008
441,Babsz?¼ret,7.037,36553,1.673,2,7,45,1997
565,Between Two Cities,7.037,8978,1.821,1,7,25,2015
2461,1835,7.036,679,3.99,3,7,360,1990
2896,Dark Souls: The Card Game,7.035,646,2.469,1,4,60,2018
900,El Hombre Lobo Edici?³n Definitiva,7.035,3647,1.497,5,68,90,2008
1856,Carcassonne: Das Schicksalsrad,7.034,1069,2.047,2,5,30,2009
1010,Encore!,7.034,2699,1.128,1,6,20,2016
1872,Greenland,7.034,1008,3.224,1,3,120,2014
1330,Expedition: Northwest Passage,7.033,1706,2.685,1,4,60,2010
652,Nejsme Tu Sami,7.032,7130,1.949,2,7,45,2016
66312,A Cidade Sombria,7.032,6264,2.102,2,8,60,2004
1184,Cockroach Poker Royal,7.032,2017,1.137,2,6,25,2012
1741,Stop Thief!,7.032,1207,1.533,1,4,60,2017
580,Ascension,7.031,11319,2.152,1,4,30,2010
980,Sticheln,7.031,2733,1.935,3,8,60,1993
794,Metropolys,7.03,3947,2.211,2,4,45,2008
1379,Otys,7.03,1622,2.915,2,4,60,2017
2017,Super Dungeon Explore: Der Vergessene K?¶nig Miniaturenspiel,7.03,1077,3.146,1,6,120,2015
972,Jump Drive,7.028,2888,2.056,2,4,30,2017
963,BSG Express,7.028,2996,2.35,3,7,75,2011
768,Black Fleet,7.028,4724,1.947,3,4,60,2014
502,Formula D,7.027,16434,1.975,2,10,60,2008
1020,Asara,7.027,2580,2.349,2,4,45,2010
507,Mr. Jack,7.026,14558,2.185,2,2,30,2006
779,Majestat: Kr?³lewska Korona,7.026,4565,1.729,2,4,40,2017
459,Alhambra,7.025,27267,2.109,2,6,60,2003
826,Ikusa,7.025,4780,2.946,2,5,360,1986
3168,Vs System 2PCG: The Marvel Battles,7.024,522,2.385,2,2,30,2015
588,Deep Sea Adventure,7.024,9362,1.177,2,6,30,2014
598,Alta societ??,7.024,7997,1.506,3,5,30,1995
859,Bibidi Bobidi Brew,7.024,3593,1.868,3,5,45,2008
2154,Dojo Kun,7.024,854,2.68,1,4,90,2015
1796,Salem,7.024,1291,2.043,4,12,35,2015
2068,Nightfall: Loi Martiale,7.023,853,2.736,2,5,45,2011
841,Two Rooms and a Boom,7.023,4061,1.429,6,30,20,2013
1727,Poseidon,7.022,1093,3.535,2,5,120,2010
1686,La Casa de Caramelo,7.022,1216,1.867,2,4,30,2018
1666,Aura,7.021,1317,3.089,1,4,80,2018
2597,War of 1812,7.02,627,2.102,2,2,90,1973
1320,Dados y Colonos,7.02,1776,2.962,1,4,60,2018
615,'???»?¿?? ???¿?? ?º?????¼?¿?? ???± ?±?³?±?¸?¬,7.019,8362,2.283,2,4,30,2015
732,Chinese Mah Jong Game,7.018,6172,2.57,3,4,120,1850
1726,Valletta,7.018,1135,2.345,2,4,80,2017
616,Jambo,7.018,7856,2.071,2,2,45,2004
2545,Escape the room: A Szanat?³rium Rejt?©lye,7.018,629,1.8,3,8,90,2016
2041,Steam Works,7.017,891,3.222,2,5,120,2015
481,Coup,7.017,33533,1.409,2,6,15,2012
1893,Le Fant?´me de l'Op?©ra,7.017,1013,2.176,2,2,30,2013
2060,The Game: Extreme,7.016,882,1.364,1,5,30,2016
2109,Mutant Chronicles: Kampen om Citadellet,7.016,1003,2.233,2,5,120,1993
2336,Joraku,7.016,712,2.167,3,4,60,2015
922,Java,7.016,3278,3.392,2,4,120,2000
2016,Tybor der Baumeister,7.015,903,1.962,2,4,30,2017
2395,The Napoleonic Wars,7.015,740,3.461,2,5,240,2002
831,Abluxxen,7.015,3877,1.398,2,5,20,2014
1906,Ace of Aces: Handy Rotary Series,7.014,1081,1.752,2,2,20,1980
1460,Bichoncho,7.014,1514,1.483,2,4,60,2012
680,Boletaires,7.013,6805,1.733,2,2,30,2012
991,Tournay,7.013,2831,2.903,2,4,60,2011
1448,Agents of SMERSH,7.012,1554,2.5,1,4,90,2012
2668,Similo,7.012,585,1.059,2,8,15,2019
2809,Northern Pacific,7.011,512,1.556,3,6,60,2013
1388,Premiere,7.011,1660,2.095,2,6,60,1996
1071,EXIT ë°© í??ì¶? ê²?ì??: ë¶?ê·¹ í??í?? ê¸°ì§?,7.011,2413,2.763,1,4,90,2017
2144,Sunset Over Water,7.01,869,1.679,1,4,20,2018
974,Fire & Axe: A Viking Saga,7.01,2980,2.67,2,5,90,2004
1017,Star Trek Catan,7.01,3087,2.374,3,4,75,2012
656,Celestia,7.01,7595,1.327,2,6,30,2015
1190,Cruzada Estelar,7.008,2634,2.293,2,4,120,1990
2441,Welcome to Dino World,7.008,695,2.105,1,75,70,2017
2514,Beasts of Balance,7.007,711,1.091,1,5,30,2016
1592,Masters of Commerce,7.007,1362,1.663,3,11,30,2011
523,Tokaido,7.007,19059,1.752,2,5,45,2012
1812,Inhabit the Earth,7.006,1052,3.176,2,4,90,2015
66130,I Coloni di Catan: Il Gioco di Carte â?? Politica & Intrighi,7.006,657,2.537,2,2,90,1999
819,Domaine,7.006,4213,2.717,2,4,60,2003
2113,Word Slam,7.005,825,1.111,3,99,45,2016
2122,Archon: Glory & Machination,7.005,832,3.105,2,4,120,2013
1718,Waggle Dance,7.005,1197,2.317,2,4,90,2014
835,Honsh?«,7.004,4013,1.957,2,5,30,2016
700,Attika,7.004,6247,2.373,2,4,60,2003
1558,Magnum Sal,7.004,1426,2.959,2,4,120,2010
660,Rasende Roboter,7.003,7722,2.423,1,99,30,1999
1156,Macht$piele,7.001,2183,3.344,3,5,105,2009
803,China,7.001,4286,2.287,3,5,45,2005
2235,Battlefleet Gothic,7.001,911,2.908,2,4,180,1999
1860,Tao Long: La Strada del Dragone,7.001,1143,2.682,2,2,30,2017
1283,N?©fertiti,7,1862,2.357,3,4,45,2008
66096,Illuminati: Y2K,7,608,2.546,2,6,180,1999
66095,Bohnanza Erweiterungs-Set (Revised Edition),7,1254,1.782,3,7,60,2001
522,Escape: A Templom ?¡tka,7,14984,1.48,1,5,10,2012
2470,7 Ronin,7,706,2.241,2,2,30,2013
1400,Heroscape Marvel: The Conflict Begins,6.999,1809,2.063,2,2,60,2007
1464,Castaways,6.999,1655,3.007,1,4,120,2010
1849,Fantastiqa: Enchanted Edition,6.998,1082,2.392,2,4,60,2012
62310,7 Wonders: Leaders ?¢â?¬â?? Louis,6.998,900,1.95,2,7,40,2012
62301,Alhambra: A tolvajok ?³r?¡ja â?? Hodina zlod??j?¯ â?? Hodina zlodejov,6.996,681,2.31,2,6,60,2005
1272,Steel Driver,6.995,1866,2.801,3,6,60,2008
1249,Helvetia,6.995,1913,3.049,2,4,90,2011
754,Manila,6.995,5350,2.035,3,5,60,2005
1508,Rum & Bones,6.995,1601,2.291,2,6,60,2015
1066,Yomi,6.995,2842,2.359,2,2,30,2011
1004,Fireball Island: Der Fluch des Vul-Khan,6.994,3494,1.532,2,4,60,2018
2997,Attack on Titan: Deck-Building Game,6.993,578,2.25,1,5,90,2016
1602,Iron Dragon,6.993,1549,2.938,2,6,240,1994
1114,Clochemerle,6.993,2366,3.115,2,4,90,2015
1130,Aquaretto,6.993,2420,2.115,2,5,45,2008
1301,Tortuga 1667,6.993,2171,2.046,2,9,40,2017
2198,Pioneers,6.992,805,2.286,2,4,60,2017
1202,Himalaya,6.99,2085,2.575,3,4,60,2002
62274,Carcassonne: De Rivier,6.99,9680,1.707,2,5,45,2001
600,Space Hulk: A Hal?¡l Angyalai,6.99,11815,2.413,1,6,60,2010
1294,La Boca,6.989,1870,1.36,3,6,40,2013
1096,Star Wars: Epic Duels,6.989,3021,1.779,2,6,30,2002
2705,Welcome to Centerville,6.989,577,2.37,2,4,80,2017
62272,Formula D?©,6.989,7565,1.964,2,10,120,1997
1001,XenoShyft: Onslaught,6.988,3145,2.689,1,4,60,2015
790,Catan Duel,6.988,5458,2.333,2,2,120,2010
1325,Founding Fathers,6.987,1780,2.753,3,5,90,2010
62266,Catan: Merenk?¤vij?¤t 5-6 lis?¤osa,6.987,3810,2.422,5,6,120,1999
536,Das ??ltere Zeichen,6.987,21175,2.349,1,8,90,2011
62264,Catan Telepesei: Kieg?©szit?? 5-6 j?¡t?©kos r?©sz?©re,6.987,14105,2.323,5,6,120,1996
822,Acht-Minuten Imperium: Legenden,6.986,4316,1.983,2,4,32,2013
796,The Big Book of Madness,6.986,5237,2.719,2,5,90,2015
2348,Sierra West,6.986,759,3.129,1,4,60,2019
2123,Letter Tycoon,6.986,933,2.05,2,5,30,2015
62260,CATAN: Barbares & Marchands,6.986,3952,2.575,2,4,60,2007
1528,Claim,6.985,1527,1.767,2,2,25,2017
2022,Greed Incorporated,6.985,880,3.569,3,5,180,2009
1360,Duplik,6.985,1844,1.216,3,10,45,2005
62255,G.I. Anvil of Victory: A Squad Leader Gamette,6.984,524,4.315,2,2,180,1982
3010,The King's Abbey,6.984,556,3.222,1,5,180,2016
